Date,Close,High,Low,Open,Volume
2026-02-24,1492.6053466796875,1502.1221521773657,1468.8181379898442,1494.8176180329626,1538900
2026-02-25,1521.2156982421875,1541.853831950164,1511.2204555496237,1517.119967328964,1306900
2026-02-26,1458.72314453125,1509.0777986531791,1421.6421174217896,1507.57302606122,2177900
2026-02-27,1445.5291748046875,1456.6503817114851,1419.559498629469,1425.3792100734115,1358300
2026-03-02,1418.602783203125,1437.6862680489762,1406.31546941829,1412.8328257003302,1492400
2026-03-03,1356.2198486328125,1368.7363456850142,1324.4206083767397,1352.8715165821004,2012500
2026-03-04,1394.5166015625,1400.6752211759845,1367.9490315906396,1386.3051898424806,1486700
2026-03-05,1363.6141357421875,1402.49882309007,1334.8043695299118,1376.3298902767256,1804500
2026-03-06,1288.3162841796875,1333.359470240547,1282.2075397378946,1289.372544569358,1900100
2026-03-09,1352.712158203125,1354.2866345593093,1271.6841040392178,1280.3340530664286,1808900
2026-03-10,1378.60205078125,1402.6583418849898,1365.1588471713576,1369.8225476509165,1650900
2026-03-11,1381.87060546875,1399.9078045724466,1367.241466861355,1379.159946843711,1164700
2026-03-12,1346.892333984375,1367.7797221084977,1328.9447875002493,1367.7797221084977,1780200
2026-03-13,1341.022705078125,1381.9802558794358,1337.8438272980177,1362.7970203669688,1179000
2026-03-16,1370.7891845703125,1385.338522858496,1363.4546043110572,1374.735411120388,1310400
2026-03-17,1384.342041015625,1386.2354756168413,1364.5609106630131,1380.2463102357756,1135600
2026-03-18,1350.469970703125,1376.4993750559397,1349.323934865257,1368.6067998307265,1391400
2026-03-19,1361.6510009765625,1367.699895034459,1305.8252741696526,1310.678378813992,1619100
2026-03-20,1312.681396484375,1365.2484442464176,1286.6220679089702,1352.552639978392,2645100
2026-03-23,1364.8697509765625,1395.5330510487609,1343.4343442382135,1355.0140378017468,1983200
2026-03-24,1394.5665283203125,1408.3784440049033,1344.0025162252248,1344.440931811905,1801000
2026-03-25,1389.0556640625,1400.9541948394128,1361.9499273092997,1389.2549217549365,1610000
2026-03-26,1324.888916015625,1354.705188742097,1322.2480826396477,1352.1042555617676,1721100
2026-03-27,1297.95263671875,1329.154103179921,1294.0163850939407,1313.8573656477845,1759700
2026-03-30,1249.6109619140625,1318.3318767323,1243.7812752838356,1314.1962454828408,2144500
2026-03-31,1316.2489013671875,1317.8234992831206,1271.5844047816238,1279.875494874041,1731500
2026-04-01,1355.0439453125,1380.9138691492597,1339.8967122297702,1340.972922665875,1745000
2026-04-02,1312.6614990234375,1351.4963121681094,1293.6776421533575,1301.0121012437396,1883400
2026-04-06,1299.4873046875,1315.4218367509327,1275.919305782992,1310.548782167155,1299200
2026-04-07,1301.9188232421875,1304.4600277992731,1267.797586715847,1285.9643405959432,1368900
2026-04-08,1416.1214599609375,1424.3328716634244,1379.4290936337004,1416.071584715789,2427300
2026-04-09,1443.61572265625,1448.508727453095,1407.2223648489826,1407.2223648489826,1579700
2026-04-10,1473.1529541015625,1497.2889233918547,1468.6087110250637,1477.2087847154812,1519600
2026-04-13,1494.996826171875,1495.5948425168203,1455.9627568541268,1460.0784376919084,1709400
2026-04-14,1513.0341796875,1526.666665679995,1491.7880550062116,1521.0960873506683,1769200
2026-04-15,1476.630859375,1481.0156233708751,1410.3415484081438,1468.4194475495158,4251700
2026-04-16,1405.9368896484375,1448.8775317035845,1401.62195082699,1447.9606786716076,2626700
2026-04-17,1454.737060546875,1467.3730146952707,1440.6758908603986,1458.6832872501304,1876500
2026-04-20,1471.379150390625,1474.1694879902043,1446.9641221586098,1456.4211988726431,1091900
2026-04-21,1453.909912109375,1475.036458401076,1441.2340573225206,1470.9705309678614,1274600
2026-04-22,1438.653076171875,1471.877411023059,1373.519774869395,1471.877411023059,2621800
2026-04-23,1412.8826904296875,1444.970962454383,1391.3874335762716,1433.959238530008,1800500
2026-04-24,1452.644287109375,1467.5425097989423,1436.6898040184592,1454.46801807068,1751800
2026-04-27,1430.5897216796875,1456.416426737177,1413.8613569186418,1455.9569379983684,1326200
2026-04-28,1382.771728515625,1396.8235017337613,1363.047238076459,1387.9349727988997,1926900
2026-04-29,1392.279296875,1397.892032942408,1373.1441326084384,1384.9188211898252,1256500
2026-04-30,1437.13134765625,1444.781487906325,1393.1981762110368,1412.5131619521428,1414400
2026-05-01,1425.1768798828125,1442.2847596442216,1412.173677014183,1426.44525905631,707100
2026-05-04,1384.41943359375,1415.239557994117,1365.0245958705816,1399.959393709515,1755700
2026-05-05,1441.0562744140625,1452.920934308617,1412.5630963616843,1430.5698368981102,1621400
2026-05-06,1542.7447509765625,1543.5237727607912,1494.0677149885694,1501.148523165375,2312400
2026-05-07,1514.64111328125,1547.9979977442024,1495.875465615646,1546.7396154252826,1726700
2026-05-08,1589.9637451171875,1593.2495347210988,1529.1823673391375,1536.5428432717638,2288300
2026-05-11,1563.78759765625,1565.9647136127087,1519.394937850838,1557.2859964714623,2191300
2026-05-12,1518.9754638671875,1533.127205490166,1473.0948594410388,1524.1688205870405,1846800
2026-05-13,1579.537109375,1600.5299784122508,1519.1152541590484,1537.4016625780096,1691200
2026-05-14,1582.46337890625,1601.418843901132,1561.2608201217452,1571.7072704605675,1412600
2026-05-15,1499.8702392578125,1525.2773210557766,1484.7197897641445,1509.7873448600908,1807400
2026-05-18,1470.48828125,1520.5235478961288,1451.4628373932055,1519.2851592284712,1664400
2026-05-19,1457.554931640625,1483.841005051334,1439.4484653492038,1448.057326897606,1395400
2026-05-20,1548.1278076171875,1553.7905279532235,1490.3924183356096,1500.439483037399,1744500
2026-05-21,1589.9437255859375,1599.7211195436405,1543.9431595298738,1546.679732624245,1358400
2026-05-22,1630.7908935546875,1651.3942517480048,1613.7628673755914,1617.9375219315632,1666700
2026-05-26,1629.9219970703125,1645.8813367952016,1602.1778501995948,1639.7292593015643,1651000
2026-05-27,1595.80615234375,1637.0128698057165,1580.9553636276198,1635.2351396324325,1361600
2026-05-28,1603.6959228515625,1625.427826248619,1577.959189227569,1615.001247704973,971600
2026-05-29,1610.6768798828125,1652.0632951724904,1602.7870595765107,1631.3600906911925,1069400
2026-06-01,1626.4664306640625,1644.4033158256177,1583.5619582545728,1592.4104997515642,1058900
2026-06-02,1703.167236328125,1706.113377165064,1645.4618392035825,1657.546185730931,1484000
2026-06-03,1724.130126953125,1741.018319233062,1687.8171060929728,1707.102222787759,1826900
2026-06-04,1755.199951171875,1776.9918358455116,1670.269875187344,1677.6303509197685,2248200
2026-06-05,1639.6195068359375,1703.2771700319795,1636.2638612660696,1683.1831620478804,2744600
2026-06-08,1746.7808837890625,1767.2044206913954,1716.7996397483205,1730.5518731731663,2062100
2026-06-09,1775.4737548828125,1828.744823896161,1674.1148546511854,1774.3252159029612,3151400
2026-06-10,1731.949951171875,1809.6595053357323,1720.9841531455647,1744.2041219640282,2586400
2026-06-11,1897.0264892578125,1901.0413162718005,1772.807141634847,1777.7008368604174,2965600
2026-06-12,1861.14306640625,1890.3552867738308,1836.624726700197,1845.233588133727,2529600
2026-06-15,1890.2154541015625,1911.2281957104287,1862.5911459198328,1892.0930307498263,2339100
2026-06-16,1801.56005859375,1878.7302739526883,1800.2816826194091,1869.592067972461,1797600
2026-06-17,1865.4173583984373,1935.986123973989,1862.910590707209,1894.7494175240995,2322900
2026-06-18,1927.1876220703125,1940.360526959428,1907.063624021767,1921.6947260324416,2406100
2026-06-22,1926.7581787109373,1956.5097409282707,1884.0034136330044,1950.9968510599383,1793300
2026-06-23,1776.162841796875,1810.6082835913253,1753.7019003958585,1775.4038136856127,2415700
2026-06-24,1760.4931640625,1777.351366140066,1728.055135873591,1748.1591401373803,2028200
2026-06-25,1838.8018798828125,1853.512834263392,1774.7447121584796,1853.103329707384,2197000
2026-06-26,1792.302001953125,1806.663433125008,1765.3568697589196,1779.3587805487523,2840000
2026-06-29,1880.677734375,1883.6838563702613,1770.2306080884678,1796.626402462792,1760500
2026-06-30,1986.870361328125,1997.3767930992992,1911.4080187574143,1913.0259214730709,2712600
2026-07-01,1840.6595458984373,1940.490397321956,1830.2629574468283,1913.80493846136,2584700
2026-07-02,1767.03466796875,1855.9996890223945,1745.7622524934195,1841.5982702069664,2699100
2026-07-06,1822.712646484375,1866.1864514541944,1810.987819875232,1827.6363324313409,1945000
2026-07-07,1745.023193359375,1758.7654303101,1715.0919327117615,1734.8862790017888,1863900
2026-07-08,1766.3656005859375,1778.3600979821813,1727.1463029991703,1731.4407977980247,1424500
2026-07-09,1801.9195556640625,1856.329167524302,1794.4392398125713,1833.0892045180424,1547400
2026-07-10,1794.9984130859375,1812.8354512526823,1764.378103276706,1781.57583156616,1218400
2026-07-13,1723.8106689453125,1773.496411361004,1715.8608672582031,1771.2493174829074,1419800
2026-07-14,1773.3465576171875,1795.947333070956,1747.5998263925394,1785.141240157985,2529100
2026-07-15,1812.9254150390625,1827.636370250961,1733.408257183666,1822.7028092777523,4189300
2026-07-16,1782.5645751953125,1851.0559502343729,1776.8220021589498,1794.5890627913243,2581400
2026-07-17,1745.32275390625,1788.5968662111472,1701.1998857700853,1731.5406513539729,2209400
2026-07-20,1736.7738037109375,1796.0171290293854,1726.3672188789735,1776.3924856892684,1639000
2026-07-21,1799.18310546875,1821.5242065817536,1783.233762235497,1798.8734473594104,1681100
2026-07-22,1799.5325927734375,1814.85274455554,1764.7576220569626,1765.366819514132,1007400
2026-07-23,1800.671142578125,1821.2245163902169,1777.940530936551,1779.8181074980523,1106700
2026-07-24,1754.8204345703125,1795.547790667371,1737.6327027416903,1787.5681206402005,1315000
2026-07-27,1653.1220703125,1744.4439075797202,1611.25617043839,1736.9435977682272,3325500
2026-07-28,1582.949951171875,1599.8800048828125,1553.5799560546875,1580.5,3010100
2026-07-29,1550.68994140625,1621.4599609375,1530.6400146484375,1569.3900146484375,2538800
2026-07-30,1651.43994140625,1676.780029296875,1626.43994140625,1645.0699462890625,2170500
2026-07-31,1629.0,1692.1500244140625,1624.7099609375,1683.3800048828125,1601400
2026-08-03,1642.52001953125,1655.199951171875,1582.0,1609.68994140625,1437400
2026-08-04,1711.8900146484375,1717.56005859375,1686.010009765625,1700.0400390625,1526700
2026-08-05,1678.219970703125,1729.06005859375,1671.75,1700.4200439453125,1221000
2026-08-06,1704.3699951171875,1735.530029296875,1672.1099853515625,1695.3900146484375,1072500
2026-08-07,1740.989990234375,1761.31005859375,1720.1099853515625,1759.7099609375,1064900
2026-08-10,1733.47998046875,1794.469970703125,1732.81005859375,1793.010009765625,1107000
2026-08-11,1799.3800048828125,1819.5899658203125,1778.3199462890625,1793.9300537109375,1479700
2026-08-12,1810.0699462890625,1845.0,1807.3800048828125,1832.6300048828125,1388800
2026-08-13,1847.9000244140625,1873.68994140625,1813.300048828125,1819.0699462890625,1237900
2026-08-14,1844.0799560546875,1853.3199462890625,1820.4100341796875,1839.18994140625,929000
2026-08-17,1883.1199951171875,1896.3499755859373,1860.1199951171875,1871.6800537109373,1285400
2026-08-18,1802.97998046875,1820.4100341796875,1775.699951171875,1809.0,1509300
