Date,Close,High,Low,Open,Volume
2026-02-24,161.05999755859375,163.0800018310547,154.625,156.8800048828125,8608800
2026-02-25,169.2100067138672,170.47000122070312,160.0,161.42999267578125,13379500
2026-02-26,173.05999755859375,184.4199981689453,167.1999969482422,178.44000244140625,16645300
2026-02-27,168.41000366210938,171.52000427246094,163.77000427246094,169.4499969482422,10251900
2026-03-02,170.3300018310547,171.86000061035156,164.1300048828125,164.19000244140625,4776800
2026-03-03,165.7899932861328,169.6999969482422,156.8699951171875,164.9499969482422,7890300
2026-03-04,168.25999450683594,169.75999450683594,164.0,165.66000366210938,3841200
2026-03-05,177.4499969482422,178.60000610351562,168.7100067138672,168.7100067138672,6950700
2026-03-06,180.47999572753903,183.25,173.91000366210938,174.49000549316406,6039600
2026-03-09,182.83999633789065,183.10499572753903,175.25,175.83999633789062,4836200
2026-03-10,175.32000732421875,182.44000244140625,174.42999267578125,182.44000244140625,4428200
2026-03-11,179.42999267578125,183.3500061035156,176.89999389648438,177.64999389648438,3481300
2026-03-12,177.25,184.7400054931641,176.6999969482422,178.89999389648438,3896000
2026-03-13,178.66000366210938,181.92999267578125,175.1699981689453,178.1699981689453,3915100
2026-03-16,174.39999389648438,180.7899932861328,173.7100067138672,180.3950042724609,3894000
2026-03-17,174.60000610351562,178.47999572753906,174.1300048828125,175.33999633789062,4251700
2026-03-18,173.25,177.75,173.11000061035156,174.0,4253000
2026-03-19,175.39999389648438,176.85000610351562,170.84500122070312,172.89999389648438,3815100
2026-03-20,168.02000427246094,174.69000244140625,166.5500030517578,173.63999938964844,5212300
2026-03-23,174.1999969482422,177.0500030517578,169.0,170.00999450683594,4472400
2026-03-24,161.33999633789062,173.2899932861328,161.11000061035156,171.63999938964844,4536900
2026-03-25,160.61000061035156,165.42999267578125,158.27999877929688,165.36000061035156,4713800
2026-03-26,162.3300018310547,166.49000549316406,158.5399932861328,159.4149932861328,3142800
2026-03-27,152.8000030517578,158.3300018310547,150.60000610351562,158.3300018310547,5826600
2026-03-30,153.6699981689453,159.27999877929688,151.75999450683594,152.80999755859375,3797700
2026-03-31,150.82000732421875,153.9199981689453,145.00999450683594,149.25999450683594,8316000
2026-04-01,153.1199951171875,155.44000244140625,148.1999969482422,153.89999389648438,5070900
2026-04-02,151.85000610351562,155.5850067138672,147.52999877929688,150.1999969482422,4855500
