Date,Close,High,Low,Open,Volume
2025-05-22,200.3914794921875,201.77479312617928,198.7394602788173,199.74461200022,46742400
2025-05-23,194.33078002929688,196.74908474491085,192.52948833207407,192.738469754576,78432900
2025-05-27,199.24703979492188,199.77448939448533,196.4803970243206,197.34622283817183,56288500
2025-05-28,199.45602416992188,201.7549111726597,198.9385209981625,199.6252046868552,45339700
2025-05-29,198.98828125,202.82971610271787,197.55520490499055,202.60082660426147,51396800
2025-05-30,199.8839569091797,200.98861863398105,195.8335255231089,198.41106448584637,70819900
2025-06-02,200.7298583984375,201.15779807678396,199.15745607510848,199.31669015009305,35423300
2025-06-03,202.29232788085935,202.7899230095772,199.9934408158467,200.38156440883068,46381600
2025-06-04,201.84446716308597,205.24801554678163,201.1279290627925,201.9340306292736,43604000
2025-06-05,199.6649932861328,203.765171611367,199.1872911078447,202.521183994692,55126100
2025-06-06,202.93917846679688,204.7106157617459,201.07817770068,202.0236053289331,46607700
2025-06-09,200.4810485839844,205.0091667110405,199.05793398755327,203.4069099948636,72862600
2025-06-10,201.6951904296875,203.36711781582227,199.6053001787652,199.63515466910712,54672600
2025-06-11,197.82388305664065,203.51637153393744,197.4556675860525,202.52118145308685,60989900
2025-06-12,198.24188232421875,198.7195693623348,196.4107360236097,198.12246436103905,43904600
2025-06-13,195.50511169433597,199.4062554549193,194.7587190445596,198.769334334526,51447300
2025-06-16,197.46563720703125,197.7343428123237,195.61458283187795,196.3510290449251,43020700
2025-06-17,194.6989898681641,197.43576263348731,194.27106541566712,196.2514839890114,38856200
2025-06-18,195.63449096679688,196.61973472966923,194.13175923439317,194.99756984742208,45394700
2025-06-20,200.03321838378903,200.7298484455588,195.9131318065836,197.28649906078425,96813500
2025-06-23,200.5308074951172,201.32696262150705,198.00303129313016,200.6601870689569,55814300
2025-06-24,199.3365936279297,202.46149014710028,199.23706853700068,201.61557243039425,54064000
2025-06-25,200.59051513671875,202.6903668657116,199.65503400834336,200.4810436177515,39525700
2025-06-26,200.03321838378903,201.66532960796235,198.50063224789568,200.4611428555203,50799100
2025-06-27,200.11285400390625,202.2425604964941,199.03804672932017,200.91895566349635,73188600
2025-06-30,204.18316650390625,206.3924899085516,198.3015889216639,201.03836190454115,91912800
2025-07-01,206.82041931152344,209.17901505124104,205.1484920031366,205.6759415551798,78788900
2025-07-02,211.41819763183597,212.3138626915596,207.13887695509675,207.90517762155156,67941800
2025-07-03,212.5228576660156,213.6175577099725,210.7912213537831,211.1295823572572,34955800
2025-07-07,208.94017028808597,215.18996325511677,207.7957076824449,211.65703516300363,50229000
2025-07-08,208.99989318847656,210.4130614823681,207.44739887083225,209.08947184941584,42848900
2025-07-09,210.1244659423828,210.31355451699517,206.22332203726856,208.5222090540861,48749400
2025-07-10,211.3883514404297,212.45319704499605,209.0197939340788,209.49748097232364,44443600
2025-07-11,210.14434814453125,211.1096837700706,208.8505979590809,209.55718962168865,39765800
2025-07-14,207.61656188964844,209.89555581124029,206.5417547175356,208.92025854176603,38840100
2025-07-15,208.10423278808597,210.8708604550018,207.915144211828,208.2137043224775,42296300
2025-07-16,209.149169921875,211.37838618562168,207.63647661047767,209.28849593835915,47490500
2025-07-17,209.0098419189453,210.78127919114968,208.5819022531988,209.5571995447156,48068100
2025-07-18,210.16424560546875,210.77131219576944,208.69136845628208,209.8557390930104,48974600
2025-07-21,211.4580078125,214.74213848423943,210.61210526026528,211.07984586548804,51377400
2025-07-22,213.36875915527344,213.91611676733493,211.20919838168209,212.1148250502387,46404100
2025-07-23,213.11997985839844,214.11517007989065,211.38835859165647,213.96589762082587,46989300
2025-07-24,212.7318420410156,214.65256693634575,212.50295255730364,212.87116805528336,46022600
2025-07-25,212.8512725830078,214.2047317845148,212.3735703810196,213.6673206036272,40268800
